fichier_gpx,route_url,road_km,state_road_km,street_km,asphalt_km,unpaved_km,paved_km,off-grid_(unknown)_km,unknown_km,path_km,cobblestones_km,cycleway_km,singletrack_km,compacted_gravel_km,access_road_km
2023 Dookola Mazowsza Stage 2.gpx,https://www.komoot.com/tour/2984915597,174.0,0.0,3.13,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Dookola Mazowsza Stage 4.gpx,https://www.komoot.com/tour/2984922817,85.0,68.0,11.4,149.0,0.191,15.2,0.732,0.732,0.198,0.198,0.0,0.191,0.0,0.0
2023 Dorpenomloop Rucphen.gpx,https://www.komoot.com/tour/2984924243,90.2,0.0,2.05,102.0,1.54,65.5,5.96,7.01,1.54,1.06,49.7,0.0,0.0,0.0
2023 Druivenkoers - Overijse.gpx,https://www.komoot.com/tour/2984925805,75.3,3.28,19.8,73.8,0.0,105.0,0.0,0.207,0.0,7.27,77.1,0.0,0.0,0.0
2023 Due Giorni Marchigiana - G.P. Santa Rita.gpx,https://www.komoot.com/tour/2984927625,170.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Due Giorni Marchigiana - Trofeo Citta di Castelfidardo.gpx,https://www.komoot.com/tour/2984929885,163.0,19.2,0.0,183.0,0.0,0.0,0.0,0.0,0.807,0.0,0.0,0.0,0.0,0.0
2023 Duracell Dwars door het Hageland.gpx,https://www.komoot.com/tour/2984931698,30.4,1.05,22.7,60.3,10.2,75.0,0.91,1.28,37.4,3.38,61.9,0.111,26.5,0.128
2023 Dwars door Vlaanderen - A travers la Flandre.gpx,https://www.komoot.com/tour/2984933274,72.9,7.15,19.9,117.0,0.0,53.3,1.83,2.05,0.0,12.0,72.3,0.0,0.0,0.0
2023 E3 Saxo Classic.gpx,https://www.komoot.com/tour/2984935251,86.8,9.91,26.5,121.0,0.0,66.3,0.285,0.285,0.119,14.8,67.8,0.0,0.0,0.0
2023 Elfstedenronde Brugge.gpx,https://www.komoot.com/tour/2984937646,83.6,2.94,21.1,114.0,0.322,60.9,0.0,0.887,0.709,14.4,67.6,0.0,0.0,0.184
2023 Eschborn-Frankfurt.gpx,https://www.komoot.com/tour/2984940620,128.0,22.6,7.51,186.0,0.145,4.66,10.0,10.5,2.03,2.37,22.3,1.02,0.0,0.52
2023 Ethias-Tour de Wallonie Stage 1.gpx,https://www.komoot.com/tour/2984941866,163.0,5.18,8.6,167.0,0.0,21.5,0.0,0.0,0.0,0.336,9.87,0.0,0.0,0.0
2023 Ethias-Tour de Wallonie Stage 2.gpx,https://www.komoot.com/tour/2984943253,101.0,63.1,1.25,164.0,0.0,15.7,0.0,0.543,0.0,0.237,14.5,0.0,0.0,0.0
2023 Ethias-Tour de Wallonie Stage 3.gpx,https://www.komoot.com/tour/2984945047,124.0,25.4,1.46,166.0,0.0,13.8,6.37,6.37,0.0,1.22,29.6,0.0,0.0,0.0
2023 Ethias-Tour de Wallonie Stage 4.gpx,https://www.komoot.com/tour/2984946682,21.6,0.0,2.33,23.8,0.0,6.63,0.882,0.894,0.393,1.47,7.66,0.0,0.0,0.0
2023 Ethias-Tour de Wallonie Stage 5.gpx,https://www.komoot.com/tour/2984948695,154.0,54.5,0.892,209.0,0.0,4.65,0.0,0.0,0.0,0.71,4.62,0.0,0.0,0.0
2023 Etoile de Besseges - Tour du Gard Stage 1.gpx,https://www.komoot.com/tour/2984950026,115.0,40.9,3.49,159.0,0.0,0.538,0.941,0.8,0.37,0.0,0.0,0.0,0.0,0.135
2023 Etoile de Besseges - Tour du Gard Stage 2.gpx,https://www.komoot.com/tour/2984951408,150.0,13.3,0.0,163.0,0.0,0.553,0.0,0.0,0.0,0.0,0.553,0.0,0.0,0.0
2023 Etoile de Besseges - Tour du Gard Stage 3.gpx,https://www.komoot.com/tour/2984952725,155.0,8.89,2.7,165.0,0.0,1.5,3.76,3.76,0.0,0.0,0.0,0.0,0.0,0.0
2023 Etoile de Besseges - Tour du Gard Stage 4.gpx,https://www.komoot.com/tour/2984954233,124.0,19.7,0.0,140.0,0.0,5.54,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0
2023 Etoile de Besseges - Tour du Gard Stage 5.gpx,https://www.komoot.com/tour/2984955459,9.87,0.108,0.322,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.0,0.0,0.0
2023 Faun Drome Classic.gpx,https://www.komoot.com/tour/2984957109,150.0,25.6,9.57,167.0,0.0,23.6,2.3,2.46,0.0,0.0,5.78,0.0,0.0,0.0
